time,ax,ay,az
57:19.1,0.01,0.09,0.03
57:19.2,-0.01,0.08,-0.02
57:19.3,0.03,0.09,0.03
57:19.4,0.05,0.08,0.04
57:19.5,0.05,0.09,-0.01
57:19.6,0.02,0.09,0.02
57:19.7,-0.01,0.09,-0.05
57:19.8,0.01,0.07,0.09
57:19.9,0.01,0.08,0.03
57:20.0,-0.02,0.09,-0.04
57:20.1,-0.03,0.07,-0.04
57:20.2,0.07,0.07,0.1
57:20.3,0.09,0.08,0.07
57:20.4,-0.09,0.07,-0.08
57:20.5,-0.01,0.03,0.2
57:20.6,0.1,0.16,-0.21
57:20.7,-0.12,0.16,-0.13
57:20.8,0.02,0.09,0.16
57:20.9,0.09,0.06,0.13
57:21.0,-0.01,0.17,-0.07
57:21.1,-0.14,0.08,-0.08
57:21.2,-0.03,0.09,0.08
57:21.3,0.04,0.03,0.11
57:21.4,0.04,0.02,0.06
57:21.5,0.02,-0.03,-0.01
57:21.6,0.02,-0.07,0
57:21.7,0.07,-0.08,0.03
57:21.8,0.05,-0.05,0.08
57:22.0,0.04,-0.01,-0.02
57:22.1,-0.02,0,0.02
57:22.2,0.12,0.03,0.12
57:22.3,0.02,0.07,0
57:22.4,-0.04,0.05,-0.06
57:22.5,-0.02,0.07,0.03
57:22.6,0.11,0.06,0.12
57:22.7,0.03,0.09,0.02
57:22.8,-0.04,0.1,0
57:22.9,0.01,0.13,-0.01
