time,ax,ay,az
57:50.9,0.03,0,0.03
57:51.0,0.03,0,0.04
57:51.1,0.02,-0.01,0.02
57:51.2,0.01,-0.02,0.01
57:51.3,0.01,-0.07,-0.01
57:51.4,-0.02,-0.01,-0.07
57:51.5,-0.01,-0.02,0.06
57:51.6,0.09,-0.05,0.13
57:51.7,0.01,-0.06,-0.12
57:51.8,-0.01,-0.02,0.06
57:51.9,-0.02,-0.05,-0.05
57:52.0,0.04,-0.06,0.09
57:52.1,0.12,0.01,0.05
57:52.2,-0.07,0,-0.05
57:52.3,0.02,0,0.07
57:52.4,0.03,-0.02,0.02
57:52.5,0.1,0.08,-0.2
57:52.6,0.12,0.05,0.11
57:52.7,-0.04,-0.06,-0.01
57:52.8,-0.05,-0.04,0.16
57:52.9,-0.05,0.02,-0.07
57:53.0,0.13,0.04,-0.05
57:53.1,0.03,0.02,0.09
57:53.2,-0.03,-0.02,-0.04
57:53.3,-0.05,-0.02,-0.03
57:53.4,-0.06,0,0.04
57:53.5,0.03,-0.01,0.07
57:53.6,0,0,0.03
57:53.7,-0.02,0.03,-0.02
57:53.8,-0.04,0,0.04
57:53.9,-0.06,0.03,0.08
57:54.0,-0.06,0.1,0
57:54.1,-0.02,0.09,-0.03
57:54.2,-0.02,0.02,0.01
57:54.3,0,0.06,0.04
57:54.4,-0.06,0.06,0.02
57:54.5,-0.01,0.08,-0.03
57:54.6,0.01,0.08,0.1
57:54.7,-0.03,0.05,0.05
57:54.8,-0.01,0.04,-0.03
57:54.9,0.01,0.03,0
57:55.0,0.01,0.04,0
57:55.1,-0.03,0.03,0.02
57:55.2,0,0.04,-0.01
57:55.3,0.03,0.04,0.02
57:55.4,0.03,0.06,0.04
57:55.6,0.02,0.05,-0.01
57:55.7,0.02,0.07,-0.04
57:55.8,0.07,0.06,0
57:55.9,0,0.07,0.01
57:56.0,0.05,0.25,0
57:56.1,-0.05,0.07,0.01
57:56.2,0.1,0.09,-0.07
57:56.3,0.07,0.08,0.11
57:56.4,-0.05,0.08,-0.03
57:56.5,-0.15,-0.03,-0.36
57:56.6,-0.01,0.04,-0.01
57:56.7,0,0.03,0.04
57:56.8,0.02,0.03,0.1
57:56.9,-0.04,0,0.14
57:57.0,-0.01,-0.05,0.11
57:57.1,-0.01,-0.04,-0.03
57:57.2,0,-0.1,0.11
57:57.3,-0.02,0,-0.06
57:57.4,-0.03,-0.09,-0.11
57:57.5,-0.02,-0.05,0
57:57.6,-0.02,-0.08,0.1
57:57.7,0.08,0.01,-0.23
57:57.8,-0.03,0,-0.06
57:57.9,-0.01,0.06,-0.01
57:58.0,0,0.05,0.14
57:58.1,-0.03,0.08,-0.07
57:58.2,0.05,0.07,0.04
57:58.3,0.11,0.08,-0.04
57:58.4,0.06,0.07,0.06
57:58.5,-0.14,0.04,-0.04
57:58.6,-0.04,0.02,0.03
57:58.7,0.06,0.01,0
57:58.8,0.05,-0.02,0.05
57:58.9,0.02,-0.02,0.02
57:59.0,-0.07,-0.01,0.03
57:59.1,0.02,0.02,-0.03
57:59.2,0.02,0.01,-0.03
57:59.3,0.04,0.04,0.03
57:59.4,0.03,0.01,0.05
57:59.5,0.01,0.02,-0.01
