time,ax,ay,az
56:16.8,-0.02,0.01,-0.01
56:16.9,-0.02,0.02,-0.01
56:17.0,-0.02,0.03,-0.03
56:17.1,-0.02,0,0.04
56:17.2,-0.03,0.01,0
56:17.3,-0.02,0.01,0.07
56:17.4,0,0.01,0.01
56:17.5,0.11,-0.07,0.01
56:17.6,-0.01,0,0.03
56:17.7,0,0.02,0.01
56:17.8,-0.02,0.01,0.01
56:17.9,0.02,0,0.03
56:18.0,-0.02,0.02,-0.04
56:18.1,-0.05,0,0.02
56:18.2,0,0.02,0.04
56:18.3,-0.03,0.02,-0.05
56:18.4,-0.02,0.04,-0.01
56:18.5,-0.02,0.02,-0.01
56:18.6,-0.04,0.02,-0.02
56:18.7,0,0.02,0.04
56:18.8,-0.04,0.04,0.02
56:18.9,-0.04,0.07,-0.01
56:19.0,-0.03,0.04,0.07
56:19.1,0.03,0.04,0.01
56:19.2,-0.05,0.04,0.06
56:19.3,-0.02,0.02,0.07
56:19.4,-0.04,0.06,-0.25
56:19.5,-0.01,0.06,-0.01
56:19.6,-0.02,0.03,0.23
56:19.7,-0.04,-0.01,0.15
56:19.8,0.02,0.01,0.36
56:19.9,-0.1,0.03,-0.07
56:20.0,-0.09,0.07,-0.34
56:20.1,0,0.08,-0.21
56:20.2,0,0,0.09
56:20.3,0.02,0.17,-0.01
56:20.4,-0.09,-0.04,0
56:20.5,-0.05,-0.01,0
56:20.6,0.04,0.03,-0.01
56:20.7,-0.01,0.04,0.07
56:20.8,-0.05,0.03,-0.04
56:20.9,0.01,0.04,-0.03
56:21.0,-0.01,0.03,-0.01
56:21.1,0.01,0.03,0.08
56:21.2,0,0.03,0.05
56:21.3,-0.02,0.02,0.01
56:21.4,-0.03,0.02,0.04
56:21.5,0.03,-0.02,0.01
