time,ax,ay,az
59:16.0,-0.05,0,0.06
59:16.1,-0.02,0.02,-0.01
59:16.2,-0.04,0.01,0.05
59:16.3,0.01,0,0
59:16.4,-0.02,0.01,-0.06
59:16.5,-0.03,0,0.02
59:16.6,-0.01,0,0.05
59:16.7,0.01,0,0.02
59:16.8,-0.02,0.01,0.07
59:16.9,-0.04,0,0.04
59:17.0,-0.01,0,0.01
59:17.1,-0.03,0.01,-0.01
59:17.2,-0.02,0.01,0.02
59:17.3,0,0.01,0.05
59:17.4,0,0.01,0
59:17.5,0,0.01,-0.01
59:17.6,-0.02,0.01,0.03
59:17.7,-0.02,0.02,0.02
59:17.8,0.05,0.01,-0.04
59:17.9,-0.06,0.03,-0.02
59:18.0,-0.04,0.01,0
59:18.1,0.01,0.01,0.02
59:18.2,-0.05,0.03,-0.01
59:18.3,-0.03,0.01,0.03
59:18.4,-0.01,0.01,0.02
59:18.5,-0.03,0.01,0.03
59:18.6,0,0.02,0.01
59:18.7,0,0.02,0.1
59:18.8,-0.03,0.03,-0.02
59:18.9,-0.02,0.02,-0.03
59:19.0,0,0.01,0.06
59:19.1,-0.02,0.01,-0.02
59:19.2,-0.03,0.01,0
59:19.3,0.02,0,0.06
59:19.4,-0.05,0.03,0.03
59:19.5,0,0.01,0.05
59:19.6,0,0.04,0.01
59:19.7,-0.03,0.03,-0.02
59:19.8,0,0,0.07
59:19.9,-0.02,0.01,-0.04
59:20.0,-0.02,0.01,0.05
59:20.1,0,0.01,0.05
59:20.2,-0.01,0.02,-0.01
59:20.3,-0.02,0.02,-0.03
59:20.4,0.01,0.01,0.01
59:20.5,-0.04,0.01,0.03
59:20.6,0,0.02,-0.02
59:20.7,-0.02,0.02,0.02
59:20.8,-0.01,0.02,0.02
59:20.9,-0.02,0.02,0.03
59:21.0,-0.02,0.02,0.04
59:21.1,0.01,0.02,0
59:21.2,-0.05,0.02,-0.02
59:21.3,-0.01,0.02,0.06
59:21.4,-0.01,0.01,0.03
59:21.5,-0.02,0.02,0.05
59:21.6,-0.04,0.03,0.01
59:21.7,-0.01,0.03,-0.01
59:21.8,-0.05,0.03,0.03
59:21.9,-0.01,0.03,0.02
59:22.0,0,0.02,0.02
59:22.1,-0.01,0.03,0
59:22.2,0.01,0.02,0.03
59:22.3,-0.01,0.04,0.01
59:22.4,0,0.03,0.02
59:22.5,0.01,0.03,0.03
59:22.6,0,0.02,-0.01
