time,ax,ay,az
01:28.7,-0.04,-0.04,-0.06
01:28.8,-0.03,-0.03,-0.04
01:28.9,-0.04,-0.01,0.1
01:29.0,0,-0.04,0.05
01:29.1,-0.01,-0.02,-0.01
01:29.2,-0.1,-0.03,-0.08
01:29.3,-0.03,-0.04,-0.08
01:29.4,0.05,-0.04,0.09
01:29.5,0.06,-0.04,0
01:29.6,0.1,-0.02,0.12
01:29.7,-0.06,-0.02,0.03
01:29.8,0.14,0.01,-0.15
01:29.9,0.08,-0.03,-0.04
01:30.0,0.06,-0.04,0.03
01:30.1,0.01,-0.06,0.02
01:30.2,0.02,-0.07,0.06
01:30.3,0.03,-0.07,-0.07
01:30.4,0.06,-0.02,0.07
01:30.5,0,-0.09,0.02
01:30.6,0.08,-0.09,0.18
01:30.7,0.1,-0.05,-0.05
01:30.8,0.07,-0.05,0.02
01:30.9,0.04,-0.08,-0.14
01:31.0,-0.05,-0.08,0.05
01:31.1,0.09,-0.05,0.03
01:31.2,0,-0.11,0
01:31.3,0,-0.07,0.06
01:31.4,-0.02,-0.03,-0.15
01:31.5,-0.02,-0.06,-0.05
01:31.6,0.16,-0.08,0.13
01:31.7,0.04,-0.06,-0.04
01:31.8,-0.1,-0.02,0.06
01:31.9,0,-0.02,0.01
01:32.0,0.05,-0.02,0
01:32.1,0.04,-0.05,0.02
01:32.2,-0.02,-0.02,0.09
01:32.3,0.04,-0.01,0.09
01:32.4,0.01,0,-0.09
01:32.5,0.04,0,0.13
01:32.6,0.03,0.01,0.07
01:32.7,-0.02,0.08,-0.09
01:32.8,-0.03,0.03,0.05
01:32.9,0.03,0.08,0.06
01:33.0,0.01,0.08,0
01:33.1,0.01,0.06,-0.06
01:33.2,-0.02,0.05,0.11
01:33.3,0.02,0.03,0.06
01:33.4,0.02,0.03,-0.05
01:33.5,0.02,0.03,-0.01
01:33.6,0.05,0,0.08
01:33.7,0,0.01,0.04
01:33.8,0.02,0,-0.01
01:33.9,0.01,0,-0.01
01:34.0,-0.02,0.03,-0.02
01:34.1,-0.02,-0.02,0.14
01:34.2,0.03,-0.06,-0.09
01:34.3,0.02,-0.02,-0.32
01:34.4,0.06,0.05,0.1
01:34.5,0.08,0.02,0.08
01:34.6,0.01,-0.01,0.08
01:34.7,0.03,0,0.1
01:34.9,0.06,0.01,0.09
01:34.9,0.07,0.02,0.01
01:35.1,-0.01,0.03,-0.03
01:35.1,-0.08,0.02,0.06
01:35.2,-0.03,0.02,0.04
01:35.3,0.08,0.05,0.01
01:35.4,-0.03,0.05,-0.03
01:35.5,0,0.05,0.07
01:35.6,0.05,0.04,0.01
01:35.7,0,0.08,-0.06
01:35.8,-0.03,0.06,-0.07
01:35.9,-0.01,0.06,0
01:36.1,0.04,0.06,0.06
01:36.1,-0.1,0.12,-0.24
01:36.2,0.01,0.05,0.15
01:36.3,0.04,0,0.11
01:36.4,-0.03,0.11,-0.09
01:36.5,-0.03,0.09,-0.03
01:36.6,0.05,0.05,-0.02
01:36.7,-0.12,-0.04,0.1
01:36.8,0.09,0.02,-0.07
01:36.9,-0.05,-0.03,0.16
01:37.0,-0.08,0,-0.08
01:37.1,0.02,-0.01,-0.08
01:37.2,0.02,0.02,0.03
01:37.3,0,0,0
01:37.4,0.03,0.02,0.11
01:37.5,-0.01,0.04,-0.07
01:37.6,0.01,-0.01,0.09
01:37.7,-0.02,0.02,-0.03
01:37.8,0,0.02,0.02
01:37.9,-0.03,0.02,0.06
01:38.0,-0.01,0.02,-0.1
01:38.1,-0.05,0.02,-0.01
01:38.2,0,0.05,0.02
01:38.3,0.02,0,-0.12
01:38.4,0.07,0.01,-0.01
01:38.5,0.05,0.04,0.25
01:38.6,0.08,0,-0.01
01:38.7,0.08,0.05,-0.03
01:38.8,0.05,0.04,0.03
01:38.9,0.07,0.04,-0.01
01:39.0,0.05,0.08,-0.08
01:39.1,0.04,0.03,0.05
01:39.2,0.05,0.05,-0.01
01:39.3,0.04,0.07,0.08
01:39.4,0.08,0.07,0.02
01:39.5,0.02,0.06,0.01
01:39.6,0.02,0.06,-0.08
01:39.7,0.06,0.06,0.1
01:39.8,0.02,0.04,0.13
01:39.9,-0.03,0.06,-0.07
01:40.0,0.12,0.08,-0.09
01:40.1,-0.02,0.02,-0.02
01:40.3,-0.01,0.06,-0.06
01:40.4,-0.01,0.05,0.07
01:40.5,0.02,0.12,0.08
01:40.6,0,0.12,-0.13
01:40.7,-0.12,0.02,0.04
01:40.8,-0.03,0.12,-0.13
01:40.9,-0.1,0.02,0.03
01:41.0,0.04,0.08,0.01
01:41.1,-0.02,0.08,-0.03
01:41.2,0.05,0.05,0.09
01:41.3,0.03,0.06,-0.04
01:41.4,0.06,0.02,0.01
01:41.5,0.01,0.01,-0.01
01:41.6,0,0.02,0.1
01:41.7,0.04,0.04,0.17
01:41.8,-0.01,0.02,0.05
01:41.9,-0.02,0.03,-0.03
01:42.0,0,0.03,-0.13
01:42.1,-0.06,0,0.06
01:42.2,-0.04,0.07,-0.05
01:42.3,-0.03,0.02,-0.03
01:42.4,-0.09,0.08,-0.15
01:42.5,0.02,0,0.06
01:42.6,-0.03,0.05,0.03
01:42.7,-0.03,0.02,0
01:42.8,0,0.07,0
01:42.9,0,0.06,-0.04
01:43.0,-0.01,0.05,0.04
01:43.1,0.01,0.06,-0.01
01:43.2,0.03,0.05,-0.04
01:43.3,0.05,0.04,0.02
01:43.4,0.03,0.05,-0.01
01:43.5,0.01,0.06,0.06
01:43.6,0.02,0.04,0.05
01:43.7,0.01,0.05,0
01:43.8,0.02,0.04,-0.01
01:43.9,0.04,0.04,0.1
01:44.0,-0.06,0.04,-0.19
01:44.1,0.01,0.05,-0.09
01:44.2,-0.08,0.09,-0.18
01:44.3,-0.07,-0.01,0
01:44.4,0,0.14,-0.08
01:44.5,0.05,0.02,0.05
01:44.6,-0.06,0.06,-0.1
01:44.7,0,0.06,0
01:44.8,0.02,0.06,-0.03
01:44.9,0.01,0.08,0.02
01:45.0,0,0.04,-0.04
01:45.1,0.05,0.03,-0.07
01:45.2,-0.03,-0.02,0.14
01:45.3,0.01,0,0.03
01:45.4,0.02,-0.03,0.05
01:45.5,-0.03,-0.03,0.09
01:45.6,-0.02,-0.02,0.02
01:45.7,-0.01,-0.01,-0.07
01:45.8,0,-0.02,0.09
01:45.9,-0.08,-0.03,0.02
01:46.0,0.03,-0.01,-0.01
01:46.1,0.02,-0.03,0.06
01:46.2,-0.05,0,0.08
01:46.3,-0.02,0,-0.06
01:46.4,0.01,0,0.05
01:46.5,-0.06,0.01,0.13
01:46.6,-0.09,0.02,-0.05
01:46.7,0.03,0.04,0.07
01:46.8,0.1,0.04,-0.05
01:46.9,-0.02,0.03,0.1
01:47.0,-0.08,0.09,-0.37
01:47.1,0.12,0.01,-0.12
01:47.2,0.01,0.01,-0.1
01:47.3,0.08,0.07,0.17
01:47.4,0.05,0.07,0.03
01:47.5,0.02,0.03,0.02
01:47.6,0.02,0.06,0.05
01:47.7,0.06,0.01,0.12
01:47.8,0.02,0.06,0
01:47.9,-0.01,0.05,-0.07
01:48.0,0,0.06,0
01:48.1,0.02,0.07,0.03
01:48.2,-0.03,0.05,-0.03
01:48.3,0,0.05,0
01:48.4,-0.05,0.09,0.01
01:48.5,-0.01,0.13,-0.11
01:48.6,0.04,0.04,-0.02
01:48.7,-0.05,0.04,0.1
01:48.8,0.06,0.03,0.03
01:48.9,0.04,-0.01,0.26
01:49.0,-0.01,0.09,-0.02
01:49.1,-0.04,0.05,-0.07
01:49.2,0.1,0.05,0.07
01:49.3,-0.03,0.05,0.08
01:49.4,0.01,0.04,0.04
01:49.5,0,0.06,-0.06
01:49.6,0.05,0.05,0.06
01:49.7,-0.07,0,0.18
01:49.8,-0.07,0.08,0.1
01:49.9,-0.04,0.07,-0.11
01:50.0,-0.04,0.03,0.12
01:50.1,-0.03,0.04,0.01
01:50.2,0,0.06,-0.05
01:50.3,0.01,0.04,0.14
01:50.4,0.02,0.08,-0.06
01:50.5,0.01,0.06,-0.09
01:50.6,-0.01,0.11,0.05
01:50.7,-0.03,0.11,0.01
01:50.8,-0.01,0.14,-0.04
01:50.9,-0.04,0.15,-0.09
01:51.0,0.01,0.14,-0.03
01:51.1,0.01,0.14,0.08
01:51.2,-0.03,0.1,-0.02
01:51.3,0.01,0.2,0.04
01:51.4,0.03,0.23,0.01
01:51.5,0.05,0.3,-0.04
01:51.6,0,0.25,0.06
01:51.7,0.01,0.31,0.03
01:51.8,0.03,0.26,-0.09
01:51.9,0.01,0.22,0.02
01:52.0,-0.02,0.28,0.01
