time,ax,ay,az
39:21.2,-0.01,0.05,0.04
39:21.3,-0.02,0.06,0.02
39:21.4,0.02,0.05,0
39:21.5,-0.01,0.06,-0.02
39:21.6,0,0.02,0.04
39:21.7,-0.01,0,0.04
39:21.8,-0.02,0,0.02
39:21.9,0,-0.02,0
39:22.0,0,-0.01,0.01
39:22.1,0,0,0
39:22.2,-0.01,0,-0.04
39:22.3,0,-0.01,0.07
39:22.4,-0.02,0,-0.07
39:22.5,0.03,0.01,-0.07
39:22.6,0,0.01,0.06
39:22.7,-0.02,-0.01,0.05
39:22.8,0.01,0.02,-0.03
39:22.9,0.05,0.02,-0.02
39:23.0,0.01,0.02,0.01
39:23.1,-0.02,0.03,-0.01
39:23.2,0.03,0.03,-0.01
39:23.3,0.02,0.02,0.06
39:23.4,0.02,0.03,0
39:23.5,0.02,0.01,-0.01
39:23.6,-0.04,0.02,0.09
39:23.7,-0.05,0.02,-0.02
39:23.8,0,0.01,-0.02
39:23.9,-0.05,0.02,0.02
39:24.0,-0.03,0.02,0.01
39:24.1,0,0.02,0
39:24.2,-0.03,0.02,0.02
39:24.3,-0.02,0.01,0.01
39:24.4,-0.01,0.01,0.06
39:24.5,-0.04,0.01,0.01
39:24.6,-0.03,0.01,-0.01
39:24.7,-0.02,0.01,0.03
39:24.8,-0.05,0.01,-0.04
39:24.9,-0.02,0.02,0
39:25.0,-0.02,0.01,0.04
39:25.1,-0.03,0.01,0
39:25.2,0.01,0.02,-0.03
39:25.3,-0.04,0.01,0.02
39:25.4,-0.02,0.01,0.02
39:25.5,-0.01,0.02,0.02
39:25.6,0.02,0.02,0.01
39:25.7,0,0.02,0.03
39:25.8,0,0.01,0.04
39:25.9,-0.05,0.02,0.01
39:26.0,0.01,0.02,-0.01
39:26.1,0,0.01,0.03
39:26.2,0,0.02,-0.01
39:26.3,0,0.01,0.01
39:26.4,0,0.01,-0.02
39:26.5,-0.03,0.02,0
39:26.6,0,0.02,0.02
39:26.7,-0.02,0.03,-0.01
39:26.8,-0.02,0.02,-0.01
39:26.9,0,0.02,0.02
39:27.0,-0.02,0.02,0.03
39:27.1,0,0.02,0.01
39:27.2,0,0.02,-0.03
39:27.3,-0.01,0.03,0.02
39:27.4,0,0.04,0.02
39:27.5,0,0.05,-0.02
39:27.6,-0.04,0.03,0.02
39:27.8,-0.02,0.05,-0.01
39:27.9,-0.03,0.03,0.05
39:28.0,-0.02,0,-0.06
39:28.1,0.06,0.04,0.15
39:28.2,-0.06,0.02,-0.17
39:28.3,0,0.03,-0.02
39:28.4,0,0.03,0.01
39:28.5,-0.02,0.03,0.02
39:28.6,0.03,0.03,-0.03
39:28.7,0.01,0.03,0.05
39:28.8,0.01,0.04,0.02
39:28.9,0,0.03,0
39:29.0,0,0.05,-0.05
39:29.1,-0.01,0.04,0.05
39:29.2,0.02,0.05,-0.03
39:29.3,0.03,0.04,-0.01
39:29.4,-0.01,0.04,0.03
39:29.5,-0.01,0.04,0.03
39:29.6,-0.02,0.05,0
39:29.7,-0.01,0.04,0.01
39:29.8,0,0.05,0.03
39:29.9,0.01,0.05,-0.01
39:30.0,0.02,0.05,0.02
39:30.1,0.01,0.06,-0.03
39:30.2,0,0.06,-0.04
39:30.3,-0.02,0.06,-0.01
39:30.4,-0.02,0.06,0.03
39:30.5,0.01,0.06,0.01
39:30.6,-0.02,0.07,0.02
39:30.7,-0.03,0.08,-0.01
39:30.8,-0.01,0.09,0.05
39:30.9,-0.02,0.1,0.02
39:31.0,-0.01,0.1,0.03
39:31.1,-0.02,0.11,0
39:31.2,-0.02,0.09,0.03
39:31.3,0.03,0.09,0
39:31.4,0,0.1,0.02
39:31.5,0.02,0.11,-0.01
39:31.6,0.02,0.1,0.04
39:31.7,-0.02,0.1,-0.06
39:31.8,0,0.07,0.06
39:31.9,-0.01,0.08,0.05
39:32.0,0,0.06,0.05
