time,ax,ay,az
41:05.2,0.06,0.1,-0.01
41:05.3,0.02,0.08,0.12
41:05.4,0.07,0.08,0.03
41:05.5,0.03,0.09,0
41:05.6,-0.02,0.08,0.09
41:05.7,-0.02,0,0.1
41:05.8,0.03,0.02,0.07
41:05.9,0.1,0.01,-0.06
41:06.0,0.06,0.02,-0.07
41:06.1,-0.07,-0.01,0.08
41:06.2,-0.06,-0.02,0.09
41:06.3,0.02,-0.01,0.01
41:06.4,0.07,-0.05,0.07
41:06.5,-0.01,-0.07,0.06
41:06.6,-0.1,-0.12,0.08
41:06.7,-0.02,-0.06,0.03
41:06.8,0.05,-0.04,-0.01
41:06.9,0.02,-0.02,0.04
41:07.0,0.03,-0.02,0.03
41:07.1,-0.03,0,-0.01
41:07.2,0.08,0.01,0
41:07.3,0.07,-0.02,-0.01
41:07.4,0.03,0,-0.02
41:07.5,0.11,0.01,0.03
41:07.6,0.02,0.07,-0.01
41:07.7,0.01,0.06,0.12
41:07.8,-0.03,0.03,-0.02
41:07.9,0.02,0.05,-0.01
41:08.0,0.01,0.09,-0.05
41:08.1,-0.04,0.05,0.07
41:08.2,0.03,0.1,-0.09
41:08.3,0.02,0.09,-0.05
41:08.4,0,0.07,-0.01
41:08.5,-0.03,0.03,0.03
41:08.6,-0.02,0.01,0
41:08.7,0.06,0.02,0.02
41:08.8,0,0.02,-0.01
41:08.9,0,0,-0.01
41:09.0,0.03,-0.01,0
41:09.1,0.01,-0.03,0.06
41:09.2,-0.03,-0.05,0.02
41:09.3,0.02,-0.04,0.04
41:09.4,0.07,-0.01,0
41:09.5,0.04,0.01,0
41:09.6,0.01,0.03,0
41:09.7,-0.02,0.05,0.02
41:09.8,-0.01,0.07,0.1
41:10.0,0.02,0.12,-0.11
41:10.1,0.02,0.14,-0.28
41:10.2,0.01,0.09,0.02
41:10.3,0,0.06,0.2
41:10.4,-0.03,0.08,0.29
41:10.5,0.05,0.13,0.01
41:10.6,0.02,0.08,0.02
41:10.7,0.01,0.06,0.05
41:10.7,-0.02,0,-0.03
41:10.9,0.01,0.05,-0.24
41:11.0,0.06,-0.04,0.14
41:11.1,0.03,-0.07,0.13
41:11.2,-0.02,-0.02,-0.16
41:11.3,0,-0.05,-0.09
41:11.4,-0.01,-0.03,0.05
41:11.5,-0.02,0,0.04
41:11.6,-0.05,-0.02,0.1
41:11.6,-0.04,0.05,-0.1
41:11.7,0.04,0.03,-0.02
41:11.9,0.03,0.02,0.04
41:11.9,-0.07,0.05,-0.03
41:12.0,-0.03,0.06,-0.02
41:12.1,0.03,0.05,-0.25
41:12.3,0.17,-0.04,-0.03
41:12.4,-0.01,-0.09,0.08
