time,ax,ay,az
42:59.0,0.04,0.06,-0.01
42:59.1,0,0.05,0.05
42:59.2,0.03,0.06,0.05
42:59.3,0.02,0.05,0
42:59.5,0.02,0.05,0.01
42:59.6,0.02,0.05,-0.01
42:59.7,0.03,0.01,0.02
42:59.8,0.01,-0.02,-0.03
42:59.9,0.02,-0.03,0.05
43:00.0,0.03,0,-0.06
43:00.1,0,0.01,-0.11
43:00.2,0,0.01,-0.02
43:00.3,0.04,-0.01,0.06
43:00.4,0.04,-0.02,0.1
43:00.5,0.03,-0.05,0.23
43:00.6,0,-0.06,0.06
43:00.7,-0.02,-0.06,-0.03
43:00.8,-0.01,-0.03,-0.04
43:00.9,0.01,-0.01,-0.13
43:01.0,0.04,-0.03,0.05
43:01.1,0.02,-0.04,0.1
43:01.2,0.01,-0.05,0
43:01.3,0.02,-0.03,0.02
43:01.4,0.01,-0.03,-0.07
