time,ax,ay,az
47:10.4,0.03,-0.04,0.1
47:10.5,0,-0.02,-0.02
47:10.6,0.01,-0.02,0
47:10.7,0.11,-0.03,0
47:10.8,0.08,-0.05,0.08
47:10.9,-0.03,-0.04,0.04
47:11.0,-0.01,-0.03,-0.02
47:11.1,0.02,-0.07,-0.05
47:11.2,0.03,-0.05,0.03
47:11.3,0.13,-0.1,0.02
47:11.4,-0.01,-0.09,0
47:11.5,0.01,-0.11,0.02
47:11.6,0.03,-0.09,-0.02
47:11.7,-0.01,-0.08,-0.05
47:11.8,0.05,-0.07,0.14
47:11.9,-0.01,-0.05,-0.03
47:12.0,0.03,-0.04,0
47:12.1,0.02,-0.03,0.05
47:12.2,0.01,-0.05,0
47:12.3,-0.04,0.01,-0.03
47:12.4,0.02,0,-0.03
47:12.5,0.03,-0.02,0.18
47:12.6,0.08,-0.04,-0.08
47:12.7,-0.08,-0.04,0.01
47:12.8,0.03,-0.01,-0.03
47:12.9,0,-0.03,0.15
47:13.0,0.08,-0.01,-0.07
47:13.1,-0.07,-0.06,0.12
47:13.2,-0.01,-0.01,-0.06
47:13.3,-0.02,-0.01,-0.08
47:13.4,0.02,-0.01,0.03
47:13.5,0.01,-0.01,0.16
47:13.6,0.02,0.02,-0.04
47:13.7,0.04,-0.01,-0.02
47:13.8,-0.04,0.01,0.09
47:13.9,0,0.02,0
47:14.0,0,-0.02,0.04
47:14.1,0.01,0.04,0.03
47:14.2,0.02,0.05,0.02
47:14.3,0.02,-0.04,0.11
47:14.4,-0.02,0.01,-0.05
47:14.5,0.01,0.02,-0.02
47:14.6,0.01,0.02,0.05
47:14.7,-0.01,0.01,0.02
47:14.8,0,0.04,0.07
47:14.9,0.05,0.05,-0.02
47:15.0,0,0.05,0.06
47:15.1,-0.03,0.04,0.04
47:15.2,0.12,-0.01,0.01
47:15.3,0.07,0.05,0.02
47:15.4,0.01,0.02,0.03
47:15.5,0.02,0.08,0.07
47:15.6,0,0.05,-0.19
47:15.7,0.07,0.06,0.07
47:15.8,0.06,0.07,0.03
47:15.9,0.02,0.12,0.08
47:16.0,-0.01,0.03,0.01
47:16.1,0.07,0.08,-0.01
47:16.2,0.03,0.08,0.01
47:16.3,0,0.07,0.05
47:16.4,0.03,0.08,0
47:16.5,-0.01,0.04,-0.02
47:16.6,0.06,0.05,-0.1
47:16.7,0.01,0.1,-0.01
47:16.8,-0.03,0.02,0.12
47:16.9,-0.06,0.06,0.05
47:17.0,0.08,0.06,-0.03
47:17.1,0.03,0.05,0.05
47:17.2,0.02,0,0.01
47:17.3,-0.08,0.01,-0.05
47:17.4,0.08,0.01,-0.11
47:17.5,0.04,0.02,0.07
47:17.6,0.01,0.01,0.05
47:17.7,-0.02,-0.03,0
47:17.8,0.03,-0.04,-0.03
47:17.9,0.04,-0.02,0
47:18.0,0.08,0.01,-0.07
47:18.1,0.03,-0.06,0
47:18.2,-0.07,0.01,-0.06
47:18.3,0.01,0,-0.08
47:18.4,0.04,0.07,0.13
