time,ax,ay,az
37:31.3,-0.03,0.03,0.01
37:31.4,-0.01,0.05,-0.03
37:31.5,0.02,0.06,-0.02
37:31.6,0,0.05,0.04
37:31.7,-0.03,0.05,0
37:31.8,0,0.04,0.03
37:31.9,0.01,-0.02,0.04
37:32.0,0.01,-0.02,0.02
37:32.1,-0.02,-0.02,0
37:32.2,0,-0.02,0.01
37:32.3,0,-0.02,-0.01
37:32.4,0.03,-0.02,-0.03
37:32.5,0.01,-0.04,0.03
37:32.6,0.01,-0.01,-0.02
37:32.7,-0.01,-0.02,0.03
37:32.8,0.06,-0.02,0
37:32.9,0,-0.01,0.06
37:33.0,0.01,-0.02,-0.05
37:33.1,0.01,-0.03,0.02
37:33.2,0.01,-0.02,0.1
37:33.3,0,-0.02,0
37:33.4,0.03,0,-0.01
37:33.5,0.03,-0.01,0.05
37:33.6,-0.02,0,0.02
37:33.7,-0.01,-0.02,0.04
37:33.8,0.01,-0.02,0.05
37:33.9,0,0,-0.05
37:34.0,-0.01,-0.01,-0.02
37:34.1,-0.01,-0.01,0.08
37:34.2,-0.02,0,0.03
37:34.3,0.01,0.01,-0.03
37:34.4,-0.02,0.01,0.07
37:34.5,0.04,-0.01,0.03
37:34.6,0.02,0,0
37:34.7,0,0,0.05
37:34.8,0,0.02,-0.04
37:34.9,0.01,0.02,0.03
37:35.0,0.02,0.03,0.03
37:35.1,0,0.05,0
37:35.2,0.01,0.05,0.01
37:35.3,0.01,0.06,0.04
37:35.4,0.01,0.07,-0.03
37:35.5,-0.02,0.07,0.01
37:35.6,0.03,0.07,0.03
37:35.7,-0.04,0.09,0.06
37:35.8,-0.01,0.1,-0.07
37:35.9,-0.01,0.12,0.04
37:36.0,0.01,0.13,0.07
37:36.1,-0.03,0.13,0.03
37:36.2,0.03,0.14,0.01
37:36.3,0.01,0.13,0.03
37:36.4,0.02,0.14,0.02
37:36.5,-0.01,0.14,-0.05
37:36.6,0.03,0.13,0.05
37:36.7,0,0.14,0.01
37:36.8,0,0.13,0.02
37:36.9,0.01,0.13,0.02
37:37.0,0,0.13,0.02
37:37.1,0.02,0.13,-0.04
37:37.2,-0.01,0.13,0
37:37.3,0.02,0.11,0.06
37:37.4,-0.06,0.14,-0.02
37:37.5,0.11,0.12,-0.16
37:37.6,0,0.11,0.15
37:37.7,0,0.09,0.01
37:37.8,-0.01,0.08,0.13
37:37.9,0.02,0.08,-0.07
37:38.0,-0.03,0.1,-0.15
37:38.1,0.07,0.07,0
37:38.2,0.04,0.11,0.08
