time,ax,ay,az
53:55.1,0,0.01,0.03
53:55.2,-0.03,-0.01,-0.02
53:55.3,0.02,0,0
53:55.4,0.01,-0.03,0.06
53:55.5,0,-0.01,0.01
53:55.6,-0.03,-0.01,-0.07
53:55.7,0,-0.02,0.06
53:55.8,0.01,-0.02,0.06
53:55.9,0.01,-0.02,-0.06
53:56.0,0,-0.04,0.06
53:56.1,0.03,-0.04,0.05
53:56.2,-0.01,-0.04,-0.03
53:56.3,0.04,-0.05,0.07
53:56.4,0.03,-0.04,-0.03
53:56.5,0.02,-0.06,-0.01
53:56.6,0.01,-0.02,-0.05
53:56.7,0.07,-0.05,0.05
53:56.8,0.03,-0.04,0.09
53:56.9,0,-0.04,-0.07
53:57.0,0.02,-0.04,-0.03
53:57.1,0.04,-0.03,0.03
53:57.2,0.03,-0.04,0
53:57.3,-0.01,-0.02,0
53:57.4,-0.05,-0.04,0.06
53:57.5,-0.01,-0.04,0.05
53:57.6,-0.01,-0.02,-0.02
53:57.7,0,-0.03,-0.02
53:57.8,0.03,-0.01,0.04
53:57.9,-0.02,-0.03,0.06
53:58.0,-0.01,-0.03,-0.05
53:58.1,0,-0.03,0.01
53:58.2,-0.02,-0.04,0.06
53:58.3,-0.02,-0.04,0.02
53:58.4,0,-0.03,0
53:58.5,-0.01,-0.02,-0.02
53:58.6,0,-0.03,0.03
53:58.7,0,-0.03,0.02
53:58.8,-0.01,-0.04,0.04
53:58.9,0,-0.01,-0.01
53:59.0,0,-0.03,0
53:59.1,0.01,-0.01,0.02
53:59.2,-0.01,-0.03,0.03
53:59.3,-0.01,-0.01,-0.02
53:59.4,0.03,0,-0.02
53:59.5,-0.02,0,0.02
53:59.6,-0.03,0,0.01
53:59.7,0.01,0,0.03
53:59.8,-0.01,0.03,0.05
53:59.9,0,0.02,0
54:00.0,0,0.01,-0.01
54:00.1,0.01,-0.01,0
54:00.2,0.03,0.01,0.02
54:00.3,-0.01,0.02,0.02
54:00.4,0.01,0,0.02
54:00.5,-0.02,0.02,0.03
54:00.6,0.04,0.01,0.03
54:00.7,-0.02,0.01,-0.01
54:00.8,-0.06,0.01,0.01
54:00.9,0.01,0.03,-0.02
54:01.0,0.02,0.02,0.01
54:01.1,-0.07,0.03,0.07
54:01.2,0.01,0,0.46
54:01.3,0.08,0.02,0.05
54:01.4,0.03,0.03,-0.13
54:01.5,0,0.06,-0.14
54:01.6,0.15,0.14,-0.47
54:01.7,-0.21,0.19,-0.08
54:01.8,-0.13,-0.02,0.27
54:01.9,0.17,0.12,0.26
54:02.0,-0.01,0.07,0.04
54:02.1,-0.06,0.01,0.07
54:02.2,-0.11,0.03,-0.13
54:02.3,0.02,0.03,-0.06
54:02.4,0.06,0.04,-0.01
54:02.5,0.05,0.07,0.03
54:02.6,0.01,0.07,0.04
54:02.7,-0.03,0.06,0.03
54:02.8,-0.02,0.08,0.01
54:02.9,0,0.1,0
