time,ax,ay,az
35:54.7,-0.03,-0.02,-0.03
35:54.8,-0.04,-0.02,0.01
35:54.9,-0.07,-0.02,0.02
35:55.0,-0.03,-0.01,-0.04
35:55.1,-0.01,-0.03,0
35:55.2,-0.05,-0.01,0.01
35:55.3,-0.04,-0.02,-0.01
35:55.4,-0.04,-0.01,0.02
35:55.5,-0.06,-0.03,0.01
35:55.6,-0.04,-0.01,-0.04
35:55.7,-0.04,-0.01,0.04
35:55.8,-0.05,-0.02,0.02
35:55.9,-0.05,-0.01,-0.01
35:56.0,-0.03,-0.01,0.02
35:56.1,-0.02,0,0.01
35:56.2,-0.03,0,-0.01
35:56.3,-0.03,0.01,0.02
35:56.4,-0.03,0.02,-0.03
35:56.5,-0.03,0.02,0.05
35:56.6,-0.03,0.02,-0.02
35:56.7,-0.04,0.03,0
35:56.8,-0.05,0.02,0.03
35:56.9,-0.03,0.02,0.02
35:57.0,-0.01,0.02,-0.01
35:57.1,-0.04,0.02,0.02
35:57.2,-0.05,0.02,-0.04
35:57.3,-0.02,0.01,0.06
35:57.4,-0.02,0,0.02
35:57.5,-0.05,0.02,-0.02
35:57.6,-0.03,0,0.05
35:57.7,-0.02,0,-0.04
35:57.8,-0.03,0.01,-0.01
35:57.9,-0.04,0,0.02
35:58.0,-0.04,0,-0.01
35:58.1,-0.02,0.01,0
35:58.2,-0.03,0.01,0.02
35:58.3,-0.04,0.01,0
35:58.4,-0.01,0.02,-0.04
35:58.5,-0.02,0.03,-0.03
35:58.6,0,0.02,0
35:58.7,-0.06,0,0.05
35:58.8,0.01,0.02,-0.01
35:58.9,-0.02,0.01,-0.01
35:59.0,-0.02,0.02,0.02
35:59.1,0,0.02,0.01
35:59.2,-0.01,0.02,-0.04
35:59.3,-0.02,0.03,0
35:59.4,-0.01,0.04,-0.02
35:59.5,-0.05,0.03,0.02
35:59.6,-0.02,0.04,-0.02
35:59.7,-0.03,0.05,-0.04
35:59.8,-0.05,0.05,-0.01
35:59.9,-0.03,0.04,0.07
36:00.0,-0.02,0.04,0.04
36:00.1,-0.03,0.04,0.06
36:00.2,-0.04,0.04,0.05
36:00.3,-0.05,0.04,-0.07
36:00.4,-0.04,0.04,-0.07
36:00.6,-0.01,0.05,0.03
36:00.7,-0.03,0.05,-0.02
36:00.8,-0.06,0.04,-0.04
36:00.9,-0.01,0.05,-0.01
36:01.0,-0.01,0.06,-0.05
36:01.1,0.01,0.05,0.05
36:01.2,-0.01,0.04,0.02
36:01.3,0,0.04,0
36:01.4,-0.01,0.04,0.05
36:01.5,-0.02,0.03,0.09
36:01.6,-0.04,0.02,-0.01
36:01.7,-0.02,0.01,-0.07
36:01.8,-0.03,0.03,0.09
36:01.9,-0.08,0,0.06
36:02.0,-0.01,0.01,-0.06
36:02.1,0,0.02,0
36:02.2,-0.06,0.01,0.08
36:02.3,-0.03,0.02,0.01
36:02.4,-0.02,0.02,0.15
36:02.5,-0.05,0.01,-0.07
36:02.6,0,0.02,-0.07
36:02.7,-0.02,0.02,0.05
36:02.8,-0.03,0.02,0.07
36:02.9,-0.01,0.02,0.01
36:03.0,-0.02,0.03,-0.03
36:03.1,-0.03,0.02,0.01
36:03.2,-0.04,0.03,0.04
36:03.3,-0.02,0.02,-0.02
36:03.4,0,0.02,-0.03
36:03.5,-0.04,0.05,0.05
36:03.6,-0.04,0.05,-0.02
36:03.7,-0.01,0.06,0
36:03.8,-0.02,0.07,0.05
36:03.9,-0.04,0.07,-0.02
36:04.0,-0.03,0.07,0.04
36:04.1,-0.01,0.07,0.03
36:04.2,-0.02,0.07,0.01
36:04.3,-0.02,0.07,-0.01
36:04.4,-0.03,0.06,0
36:04.5,0,0.07,0.03
36:04.6,-0.01,0.06,0.04
36:04.7,-0.01,0.07,0.01
36:04.8,-0.03,0.07,-0.02
36:04.9,-0.02,0.06,0.02
36:05.0,-0.01,0.06,0.02
36:05.1,-0.03,0.06,0
36:05.2,-0.02,0.06,0.03
36:05.3,-0.03,0.06,0
36:05.4,-0.03,0.05,0.03
36:05.5,-0.03,0.07,0.02
36:05.6,-0.02,0.06,0.01
36:05.7,-0.02,0.05,-0.03
36:05.8,-0.02,0.06,0.02
36:05.9,-0.02,0.05,0.05
36:06.0,-0.02,0.06,0
36:06.1,-0.02,0.05,0.02
36:06.2,0,0.06,-0.03
36:06.3,-0.03,0.06,-0.04
36:06.4,-0.05,0.05,0.03
36:06.5,-0.03,0.03,0.05
36:06.6,-0.02,0.05,0.01
36:06.7,-0.03,0.06,-0.01
36:06.8,-0.04,0.05,-0.01
36:06.9,-0.04,0.05,0.04
36:07.0,-0.01,0.06,-0.02
36:07.1,-0.01,0.05,0.01
36:07.2,-0.04,0.04,0.03
36:07.3,-0.02,0.05,0.01
36:07.4,-0.03,0.05,0.01
36:07.5,-0.01,0.05,0.02
36:07.6,-0.02,0.04,-0.04
