time,ax,ay,az
04:47.8,0.02,-0.01,-0.03
04:47.9,0.02,-0.02,0
04:48.0,0.02,-0.01,0
04:48.1,0.04,-0.02,0.05
04:48.2,0.02,-0.02,0.02
04:48.3,-0.01,-0.01,-0.01
04:48.4,0.02,-0.02,-0.01
04:48.5,0.07,-0.01,0.13
04:48.6,0,-0.03,0.03
04:48.7,0,-0.03,0
04:48.8,0.01,-0.04,0
04:48.9,0.02,-0.04,0.04
04:49.0,0,-0.03,-0.02
04:49.1,0.02,-0.05,0.03
04:49.2,0.03,-0.04,0.02
04:49.3,0.01,-0.05,0
04:49.4,0,-0.05,-0.01
04:49.5,0.03,-0.06,0.05
04:49.6,-0.02,-0.05,-0.03
04:49.7,0.01,-0.06,-0.06
04:49.8,0.02,-0.07,0.05
04:49.9,0.04,-0.05,-0.01
04:50.0,0.03,-0.04,-0.05
04:50.1,0.02,-0.04,0.03
04:50.2,0,-0.04,0.03
04:50.3,0.04,-0.04,-0.01
04:50.4,-0.01,-0.01,-0.06
04:50.5,-0.02,-0.03,0.03
04:50.6,0.04,-0.03,0.08
04:50.7,0.01,-0.03,-0.02
04:50.8,0.02,-0.03,-0.03
04:50.9,0.02,-0.03,0.05
04:51.0,0,-0.06,0.02
04:51.1,0.02,-0.06,0.05
04:51.2,0.04,-0.06,0.03
04:51.3,0.02,-0.06,0.06
04:51.4,0,-0.05,0.07
04:51.5,0.02,-0.06,-0.03
04:51.6,0.05,-0.06,0
04:51.7,0.03,-0.06,0.07
04:51.8,0.02,-0.07,0.09
04:51.9,0,-0.04,-0.06
04:52.0,0,-0.05,-0.06
04:52.1,0.01,-0.05,0.04
04:52.2,0.02,-0.04,0.04
04:52.3,0,-0.03,-0.05
04:52.4,-0.01,-0.02,-0.04
04:52.5,0,-0.03,0.04
04:52.6,0,-0.03,0.06
04:52.7,-0.01,-0.02,0
04:52.8,0,-0.02,-0.07
04:52.9,0.01,-0.04,0.06
04:53.0,-0.01,-0.04,0.05
04:53.1,-0.01,0,-0.03
04:53.2,0.02,-0.01,0.02
04:53.3,0,-0.03,0.04
04:53.4,0.01,-0.01,0.1
04:53.5,0,-0.03,-0.02
04:53.6,0,-0.02,-0.01
04:53.7,0.02,-0.03,0.01
04:53.8,0.02,-0.02,0
04:53.9,-0.01,-0.01,0.06
04:54.0,0.02,-0.01,0.03
04:54.1,0.03,-0.02,0.04
04:54.2,-0.02,-0.02,0
04:54.3,0,-0.03,-0.04
04:54.4,0,-0.01,0.03
04:54.5,0.01,-0.02,0
04:54.6,0.01,-0.01,-0.04
04:54.7,0.02,-0.02,0.06
04:54.8,0.02,-0.03,0
04:54.9,0.02,-0.02,0.01
04:55.0,0.01,-0.02,0.02
04:55.1,0.02,-0.01,0.01
04:55.2,0.02,0,0
04:55.3,0,-0.02,0
04:55.4,0.02,0,0
04:55.5,-0.01,0,0.03
04:55.6,0.04,0,-0.03
04:55.7,0,0.01,0.04
04:55.8,0.01,0.02,-0.02
04:55.9,0.01,0.02,-0.04
04:56.0,-0.01,0.02,0
04:56.1,0.04,0.02,0.09
04:56.2,0.01,0.03,0.04
04:56.3,-0.01,0.02,0.03
04:56.4,0.03,0.02,-0.01
04:56.5,-0.02,0.02,0.02
04:56.6,0,0.02,0
04:56.7,0,0.01,0.01
04:56.8,-0.01,0,0
04:56.9,0,0.01,0.01
04:57.0,0,0,0.05
04:57.1,0.03,0,0.01
04:57.2,0.01,0,0.02
04:57.3,0.01,0,0
04:57.4,0,0,-0.02
04:57.5,-0.01,0,0.02
04:57.6,0.01,0,0.01
04:57.7,0.01,0.01,0
04:57.8,-0.01,0,0.02
04:57.9,0.02,0,-0.03
04:58.0,0,0.01,0.02
04:58.1,0,0.01,0
04:58.2,0.01,0.01,0
04:58.3,0,0.02,0.02
04:58.4,0,0.02,-0.01
04:58.5,0.01,0.01,0.02
04:58.6,0.03,0.02,0.01
04:58.7,0,0.01,-0.01
04:58.8,-0.04,0.04,-0.03
04:58.9,0.04,0,0.07
04:59.0,0,0.02,0.02
04:59.1,-0.02,0.03,-0.07
04:59.2,0.01,0.03,0.05
04:59.3,0.04,0.03,-0.01
04:59.4,0.05,0.02,0.05
04:59.5,0.03,0.04,0.08
04:59.6,0.01,0.03,-0.06
04:59.7,0.01,0.03,-0.01
04:59.8,0.06,0.05,0.03
04:59.9,0.02,0.05,-0.06
05:00.0,0.02,0.04,0
05:00.1,0.06,0.04,-0.01
05:00.2,0.02,0.03,0.06
05:00.3,0.02,0.05,0.05
05:00.4,0.02,0.04,0.01
05:00.5,0,0.06,0.02
05:00.6,0.02,0.05,0.08
05:00.7,0.01,0.04,0.03
05:00.8,-0.01,0.04,-0.01
05:00.9,0,0.04,0.04
05:01.0,0.01,0.04,0.13
05:01.1,0,0.04,-0.01
05:01.2,0,0.04,-0.04
05:01.3,0,0.03,0.04
05:01.4,-0.01,0.04,0.01
05:01.5,0,0.04,0
05:01.6,-0.01,0.07,-0.05
05:01.7,0,0.06,0.06
05:01.8,0.03,0.05,0.1
05:01.9,-0.03,0.07,-0.02
05:02.0,-0.01,0.08,-0.02
