time,ax,ay,az
44:00.5,0.02,-0.07,0.01
44:00.6,0,-0.08,0.02
44:00.7,0,-0.07,0.04
44:00.8,0.02,-0.06,0.01
44:00.9,0.05,-0.05,0.02
44:01.0,0.04,-0.04,-0.03
44:01.1,0.02,-0.06,0.01
44:01.2,0.01,-0.06,0.05
44:01.3,0.04,-0.07,-0.03
44:01.4,0.01,0.03,-0.22
44:01.5,-0.01,-0.04,-0.11
44:01.6,0.01,-0.03,0.16
44:01.7,-0.01,-0.03,0.13
44:01.8,-0.02,-0.06,0.11
44:01.9,-0.04,-0.04,0.1
44:02.0,0.04,-0.06,0.14
44:02.1,0.01,-0.01,-0.08
44:02.2,-0.02,0.02,-0.21
44:02.3,-0.02,-0.03,0.06
44:02.4,0.05,-0.04,0.12
44:02.5,0,0,-0.08
44:02.6,0,-0.01,-0.1
44:02.7,-0.02,-0.03,0.07
44:02.8,0.03,-0.03,0.13
44:02.9,0.02,-0.02,-0.02
