time,ax,ay,az
00:01.9,0.04,-0.01,0.05
00:02.0,-0.07,0,0.01
00:02.1,0.01,-0.03,0.05
00:02.2,0.19,0.01,-0.04
00:02.3,-0.01,-0.01,0.02
00:02.4,0.04,-0.02,0.12
00:02.5,0.04,-0.03,0.09
00:02.6,-0.01,-0.05,-0.02
00:02.7,0.1,0.04,-0.05
00:02.8,-0.01,-0.09,0.07
00:02.9,0.01,-0.04,0.01
00:03.0,-0.08,-0.09,0.02
00:03.1,0.03,-0.07,0
00:03.2,0.01,-0.09,0.02
00:03.3,0.07,-0.05,0.09
00:03.4,-0.03,-0.04,-0.09
00:03.5,0,-0.01,-0.05
00:03.6,0,-0.07,0.02
00:03.7,0.1,-0.04,0.04
00:03.8,0.04,-0.03,0.01
00:03.9,0.1,-0.02,0.2
00:04.0,-0.04,-0.01,0.02
00:04.1,-0.02,-0.03,-0.07
00:04.2,0.03,-0.04,0.02
00:04.3,0.14,-0.02,0.1
00:04.4,-0.01,-0.02,0.02
00:04.5,-0.08,-0.02,-0.08
00:04.6,-0.05,0,0.15
00:04.7,0.07,0,-0.05
00:04.8,0.1,0,-0.03
00:04.9,-0.01,0.01,-0.01
00:05.0,-0.03,-0.03,0.02
00:05.1,0.01,0,0.03
00:05.2,0.04,0.02,0.04
00:05.3,0.01,0,-0.03
00:05.4,0.03,0,0.11
00:05.5,0.04,0.01,0.03
00:05.6,-0.04,0.05,0.01
00:05.7,0.02,0,0
00:05.8,0.09,0.01,0.07
00:05.9,-0.02,0.03,0.09
00:06.0,0.05,0.04,0.04
00:06.1,0.03,0.02,-0.02
00:06.2,0.03,0.03,0
00:06.3,0.01,0.01,0.02
00:06.4,-0.03,0.03,-0.05
00:06.5,-0.01,0.02,-0.03
00:06.6,0.03,0.02,-0.01
00:06.7,0.02,0.04,0.03
00:06.8,0.03,0.02,0
00:06.9,0.03,0.03,0
00:07.0,0.03,0.01,0.02
00:07.1,0.07,0.03,0.06
00:07.2,0.01,-0.01,0.13
00:07.3,0.12,0.04,0.28
00:07.4,0.02,0.08,-0.04
00:07.5,-0.07,0.02,-0.12
00:07.6,0.04,0.02,-0.17
00:07.7,0.06,0.04,0.17
00:07.8,-0.02,-0.02,0.07
00:07.9,-0.14,0.01,-0.13
00:08.0,-0.03,0.03,0.08
00:08.1,-0.02,0.02,0.03
00:08.2,0.02,0.02,0
00:08.3,-0.01,0.02,-0.06
00:08.4,-0.04,0.04,0.06
00:08.5,0.01,0.01,0.1
