time,ax,ay,az
47:42.4,0.02,0.02,-0.03
47:42.5,0.01,-0.01,0.02
47:42.6,0.03,-0.02,0
47:42.8,0.02,-0.01,-0.03
47:42.8,0.02,-0.03,0.01
47:43.0,0.06,-0.02,-0.03
47:43.1,-0.01,-0.03,0.07
47:43.2,0.05,-0.03,-0.06
47:43.3,0.05,-0.03,0.01
47:43.4,0.05,-0.02,0.01
47:43.5,0.07,-0.03,0
47:43.6,0.01,-0.02,-0.01
47:43.7,0.1,-0.03,-0.07
47:43.8,0.01,-0.04,-0.01
47:43.9,0.03,0.02,0
47:44.0,-0.01,0.04,0.14
47:44.1,0.03,-0.01,0.04
47:44.2,0.04,0,-0.01
47:44.3,0,-0.04,0.02
47:44.4,0,-0.05,0.08
47:44.5,0.01,-0.07,-0.09
47:44.6,0.05,-0.03,-0.02
47:44.7,0.04,0,-0.03
47:44.8,-0.05,-0.02,0
47:44.9,0.03,-0.04,0.04
47:45.0,0.1,-0.03,0.14
47:45.1,-0.02,-0.04,0.08
47:45.2,-0.01,-0.06,-0.01
47:45.3,-0.01,0,-0.06
47:45.4,0.06,-0.01,-0.06
47:45.5,-0.03,0.02,0.06
47:45.6,-0.02,-0.03,0.02
47:45.7,0.09,0,0.02
47:45.8,0.01,-0.01,0.06
47:45.9,0.03,0,-0.03
47:46.0,-0.05,0,-0.01
47:46.1,0.01,-0.03,0.06
47:46.2,-0.05,-0.01,0.05
47:46.3,0.05,0.03,-0.06
47:46.4,0.05,0,-0.12
47:46.5,0,0.01,0.06
47:46.6,-0.04,-0.01,0.07
47:46.7,0.01,0.03,-0.04
47:46.8,0.08,-0.01,-0.08
47:46.9,0.03,-0.02,0.03
47:47.0,0.04,0.03,-0.01
47:47.1,0,-0.01,0.1
47:47.2,-0.01,-0.03,0.21
47:47.3,0.02,0.02,0.03
47:47.4,0.02,0.05,-0.13
47:47.5,0.03,0.06,0.03
47:47.6,0.05,0.06,0.32
47:47.7,-0.07,0.04,-0.06
47:47.8,-0.02,-0.04,-0.16
47:47.9,0.06,-0.02,0.01
47:48.0,0.09,0,0.02
47:48.1,0.06,0.04,-0.07
47:48.2,0.06,0.04,0.07
47:48.3,0,0.06,0.05
47:48.4,-0.06,-0.03,0.12
47:48.5,0.01,0.1,-0.06
47:48.6,-0.02,0.05,0.13
47:48.7,0.01,0.07,-0.08
47:48.8,0.01,0.03,-0.1
47:48.9,-0.01,-0.02,0.1
47:49.0,0,0,0.13
47:49.1,0.04,0.01,-0.06
47:49.2,0.08,0,-0.1
47:49.3,-0.02,-0.06,0.06
47:49.4,0.01,-0.09,0.09
47:49.5,0.04,-0.03,0.01
47:49.6,0.12,-0.06,-0.08
47:49.7,0.02,-0.01,-0.03
47:49.8,-0.03,-0.05,0.18
47:49.9,-0.05,-0.02,-0.09
47:50.0,0.1,0.02,0.03
47:50.1,0.05,0.03,0.01
47:50.2,0.01,-0.03,0.01
47:50.3,-0.04,0.02,0.04
47:50.4,0,0.15,-0.07
47:50.5,-0.05,0.01,0.01
47:50.6,0.06,0.09,0.05
47:50.7,0.01,0.07,-0.01
47:50.8,0.04,0,-0.06
47:50.9,0.06,0.09,0.04
47:51.0,-0.08,0.11,0.03
47:51.1,0.02,0.04,-0.08
47:51.2,0,0.04,-0.05
47:51.3,0.05,0.02,0.06
47:51.4,-0.12,0.08,0.1
47:51.5,0.06,0.04,0.02
47:51.6,-0.1,0.04,0.12
