time,ax,ay,az
54:14.7,0,0.13,0
54:14.8,0,0.13,0.01
54:14.9,0.01,0.13,0.01
54:15.0,0.01,0.09,0.01
54:15.1,0,-0.02,-0.01
54:15.2,0.01,-0.04,0.01
54:15.3,0.01,-0.04,0
54:15.4,0.01,-0.05,0.02
54:15.5,0.01,-0.05,0.01
54:15.6,0.01,-0.06,0.01
54:15.7,0.01,-0.06,0.02
54:15.8,0,-0.06,0.01
54:15.9,0.01,-0.06,0
54:16.0,0,-0.07,0
54:16.2,0.01,-0.08,0.02
54:16.3,0,-0.1,0
54:16.4,0.01,-0.11,0.01
54:16.5,0.01,-0.13,0
54:16.6,0.02,-0.17,0.02
54:16.7,0,-0.18,-0.01
54:16.8,0.03,-0.19,0.01
54:16.9,0.02,-0.2,0.02
54:17.0,0.01,-0.2,0.01
54:17.1,0.01,-0.19,-0.01
54:17.2,0.01,-0.19,-0.02
54:17.3,0.02,-0.18,0
54:17.4,0.02,-0.19,0.04
54:17.5,0.02,-0.19,0.04
54:17.6,0,-0.19,0.01
54:17.7,0.03,-0.18,-0.01
54:17.8,0.03,-0.19,0.04
54:17.9,0.01,-0.18,0.04
54:18.0,0.01,-0.15,-0.05
54:18.1,0.01,-0.16,0.01
54:18.2,0.01,-0.15,0.06
54:18.3,0.01,-0.15,0.01
54:18.4,0.04,-0.16,0.03
54:18.5,0,-0.14,0
54:18.6,0.01,-0.14,-0.04
54:18.7,0.01,-0.15,0.06
54:18.8,0.03,-0.12,0.04
54:18.9,0.01,-0.14,-0.04
54:19.0,0.01,-0.12,0.01
54:19.1,0.01,-0.13,0.04
54:19.2,0.01,-0.13,0.03
54:19.3,0.02,-0.14,0.01
54:19.4,0.01,-0.13,0.01
54:19.5,0.01,-0.14,-0.07
54:19.6,0.04,-0.13,0.03
54:19.7,0.02,-0.14,0.07
54:19.8,0.01,-0.13,0.07
54:19.9,0.01,-0.11,-0.12
54:20.0,0,-0.1,-0.03
54:20.1,0.03,-0.1,0.05
54:20.2,0.01,-0.1,0.01
54:20.3,0,-0.11,-0.03
54:20.4,0.01,-0.11,0.01
54:20.5,0.03,-0.09,-0.03
54:20.6,-0.01,-0.09,-0.01
54:20.7,0.01,-0.09,0.02
54:20.8,0.02,-0.09,0.01
54:20.9,0.01,-0.09,0.02
54:21.0,0.01,-0.09,0.01
54:21.1,0.03,-0.09,-0.01
54:21.2,0.01,-0.1,-0.02
54:21.3,0.02,-0.1,0.02
54:21.4,0,-0.08,0.03
54:21.5,0.01,-0.09,-0.01
54:21.6,0.05,-0.08,0.01
54:21.7,0.03,-0.07,0.03
54:21.8,0.02,-0.08,0.07
54:21.9,0.01,-0.07,0.05
54:22.0,0.02,-0.07,0.03
54:22.1,0.01,-0.08,0.03
54:22.2,0.03,-0.08,0.02
54:22.3,0.02,-0.07,0
54:22.4,0.02,-0.07,-0.02
54:22.5,-0.01,-0.08,0.03
54:22.6,0,-0.06,0.01
54:22.7,0.03,-0.08,-0.01
54:22.8,0.01,-0.08,0.04
54:22.9,0,-0.07,0.01
54:23.0,0.01,-0.07,0.02
54:23.1,0,-0.06,-0.01
54:23.2,-0.02,-0.06,0.04
54:23.3,0.03,-0.08,0.06
54:23.4,0.01,-0.05,-0.08
54:23.5,0.02,-0.06,0.02
54:23.6,0.02,-0.05,0.03
54:23.7,0.01,-0.04,0.02
54:23.8,0.01,-0.03,-0.01
54:23.9,0,-0.03,0.03
54:24.0,0,-0.05,0.02
54:24.1,0.02,-0.04,0
54:24.2,0.03,-0.05,0.05
54:24.3,0.01,-0.04,0.05
54:24.4,0.02,-0.05,0.03
54:24.5,-0.01,-0.02,-0.05
54:24.6,0,-0.03,-0.02
54:24.7,0.01,-0.02,0.03
54:24.8,0,-0.01,-0.02
54:24.9,0.01,-0.01,0
54:25.0,0,-0.01,0.01
54:25.1,0.01,-0.01,0.02
54:25.2,0.03,0,0.05
54:25.3,0.02,0,0
54:25.4,0.02,0,0.02
54:25.5,0.01,0.01,0.01
54:25.6,-0.01,0.01,0
54:25.7,0.01,0.01,-0.06
54:25.8,0,0.01,-0.02
54:25.9,0.01,0.02,0
54:26.0,0,0.02,0.01
54:26.1,0.02,0.02,0.02
54:26.2,0.01,0.02,-0.01
54:26.3,0.01,0.03,0.01
54:26.4,0.01,0.03,-0.01
54:26.5,0.02,0.03,0.02
54:26.6,-0.01,0.05,0.02
54:26.7,0.02,0.05,0.01
54:26.8,0,0.05,0.01
54:26.9,0.01,0.05,0.01
54:27.0,0.01,0.05,0.01
54:27.1,0.02,0.05,0.01
54:27.2,0,0.04,0.02
54:27.3,0.02,0.05,0
54:27.4,0,0.05,0.02
54:27.5,0,0.05,0.03
54:27.6,0,0.05,0.03
54:27.7,-0.01,0.04,0
54:27.8,0,0.04,-0.01
54:27.9,-0.02,0.05,-0.01
54:28.0,-0.01,0.03,0.04
54:28.1,0.01,0.05,-0.01
54:28.2,0,0.05,0.02
54:28.3,0.02,0.05,-0.03
54:28.4,-0.01,0.05,0.01
54:28.5,0,0.05,0
54:28.6,-0.01,0.04,0.03
54:28.7,0.01,0.04,0.02
54:28.8,-0.02,0.05,0.02
54:28.9,0,0.04,0.01
54:29.0,0,0.04,0
54:29.1,0.02,0.04,0.02
54:29.2,0,0.04,0
54:29.3,0.02,0.04,0.02
54:29.4,0.02,0.04,0.01
54:29.5,0.03,0.04,0
54:29.6,-0.01,-0.01,0.04
54:29.7,0.01,0.01,0.03
54:29.8,0.02,0.02,-0.02
54:29.9,0,0.02,0.01
54:30.0,0.03,0.01,-0.01
54:30.1,0.03,0.02,-0.06
54:30.2,0.02,0.02,-0.02
54:30.3,0.02,0.02,0.02
54:30.4,0.03,0.02,0
54:30.5,0.01,0.03,0.01
54:30.6,0.01,0.02,0.01
54:30.7,0.03,0.04,-0.04
54:30.8,0.03,0.03,0
54:30.9,0.04,0.03,0.11
54:31.0,-0.01,0.01,0.01
