time,ax,ay,az
40:26.2,0.03,0.03,0.08
40:26.3,0.01,0.07,-0.07
40:26.4,-0.03,0.05,0.05
40:26.5,0.02,0.06,-0.03
40:26.6,0.01,0.04,0.06
40:26.7,0,0.02,0.03
40:26.8,0.09,0.07,-0.14
40:26.9,-0.07,0.02,-0.08
40:27.0,0.02,-0.06,0.17
40:27.1,0.04,-0.04,0.02
40:27.2,-0.07,-0.1,-0.02
40:27.3,-0.04,-0.14,0.04
40:27.4,0.06,-0.21,0.03
40:27.5,0.08,-0.17,-0.07
40:27.6,0.04,-0.16,0.09
40:27.7,-0.12,-0.15,0.09
40:27.8,0.09,-0.1,-0.02
40:27.9,0,-0.12,0.05
40:28.0,0.01,-0.02,-0.05
40:28.1,0.13,0.02,-0.21
40:28.2,0.02,-0.08,0.12
40:28.3,0.03,-0.07,0.09
40:28.4,-0.02,0,-0.07
40:28.5,-0.09,0.01,-0.01
40:28.6,0.09,0.09,-0.1
40:28.7,0.03,0,0.16
40:28.8,-0.04,-0.02,0.1
40:28.9,0.02,0.01,-0.1
40:29.0,-0.16,-0.04,-0.05
40:29.1,0.1,-0.05,0.22
40:29.2,0.02,-0.07,0.05
40:29.3,0.01,-0.09,0.14
40:29.4,-0.06,-0.07,-0.12
40:29.5,-0.11,-0.04,-0.05
40:29.6,-0.06,-0.04,-0.02
40:29.7,0.02,-0.04,-0.03
40:29.8,0,-0.03,0.03
40:29.9,-0.07,-0.02,0.02
40:30.0,-0.06,0.03,0.06
40:30.1,-0.01,0.02,0.03
40:30.2,0.03,0,0.01
40:30.3,0.01,0.01,0.06
40:30.4,-0.06,0.02,0.02
40:30.5,-0.04,0,-0.02
40:30.6,-0.05,0.01,0.02
40:30.7,0.03,0.02,0.06
40:30.8,0.03,0,0.02
40:30.9,-0.06,0,-0.05
40:31.0,-0.04,0,0.07
40:31.1,0.03,0.04,-0.03
40:31.2,-0.02,0.03,-0.03
40:31.3,-0.09,-0.05,-0.05
40:31.4,-0.05,0.01,0.14
40:31.5,-0.1,0,-0.01
40:31.6,-0.11,0.02,-0.1
40:31.7,-0.04,0.01,0.1
40:31.8,0.05,0,0.11
40:31.9,-0.07,0.02,-0.07
40:32.0,-0.13,0.02,-0.07
40:32.1,-0.01,0,0.05
40:32.2,0.06,0,0.05
40:32.3,0.09,0.04,0.07
40:32.4,-0.08,0.03,-0.09
40:32.5,-0.03,0.02,0.01
40:32.6,0.08,-0.02,0.09
40:32.7,0.11,-0.02,0.04
40:32.8,-0.01,0.06,-0.12
40:32.9,-0.01,0.04,-0.04
40:33.0,0,0.03,0.1
40:33.1,0.08,0.06,0.16
40:33.2,-0.02,0.05,-0.05
40:33.3,-0.05,0.05,-0.07
40:33.4,0,0.04,0
40:33.5,-0.02,0.03,0.05
40:33.6,0.07,0.07,-0.07
40:33.7,0,0.08,-0.14
40:33.8,-0.04,0.09,0.1
40:33.9,-0.05,0.07,0.04
40:34.0,0.05,0.02,0.01
40:34.1,0.03,0.02,-0.03
40:34.2,-0.04,-0.03,0.04
40:34.3,-0.01,-0.06,0.12
40:34.4,0.09,-0.1,-0.13
40:34.5,0.05,-0.09,-0.02
40:34.6,0.04,-0.07,0.09
40:34.7,0.01,-0.03,0.08
40:34.8,0.03,0.01,-0.04
40:34.9,0.01,0.04,-0.04
40:35.0,-0.05,0.06,0.12
40:35.1,0.04,0.05,0.06
40:35.2,0.03,0.06,0
40:35.3,0.01,0.08,0.02
40:35.4,-0.03,0.07,0.01
40:35.5,-0.02,0.06,0.16
40:35.6,-0.02,0.09,-0.08
40:35.7,-0.02,0.07,0.02
40:35.8,-0.06,0.1,-0.1
40:35.9,0,0.06,0.04
40:36.0,0.03,0.07,0.04
40:36.1,-0.03,0.06,0.11
40:36.2,-0.04,0.08,-0.02
40:36.3,0.07,0.08,-0.02
40:36.4,0.02,0.07,0.03
40:36.5,-0.01,0.06,0.05
40:36.6,0,0.02,0.1
40:36.7,0.05,0.01,-0.01
40:36.8,0.04,-0.02,0.03
40:36.9,0.01,-0.01,0.02
40:37.0,0.02,-0.01,0.01
40:37.1,-0.01,-0.04,0.15
40:37.2,0.03,0.02,-0.05
40:37.3,0.01,0,0.05
40:37.4,-0.02,0.02,-0.05
40:37.5,-0.05,0.05,-0.01
40:37.6,-0.08,0.12,-0.3
40:37.7,-0.1,0.08,0.11
40:37.8,-0.02,0.06,0.2
40:37.9,-0.03,0.06,0.19
40:38.0,-0.05,0.1,0.02
40:38.2,0,0.05,0.12
40:38.3,0.08,0.09,-0.02
40:38.4,0.12,0.07,-0.21
40:38.5,-0.1,0.04,0.2
40:38.6,-0.04,0.02,-0.05
40:38.7,0.09,0.04,-0.08
40:38.8,0.04,-0.02,-0.2
40:38.9,-0.02,0.01,0.11
40:39.0,-0.03,-0.07,0.02
40:39.1,0.1,-0.08,0.02
40:39.2,0.02,-0.01,-0.03
40:39.3,0.02,-0.06,0.1
40:39.4,-0.03,-0.05,0.01
40:39.5,0,-0.06,0.02
40:39.6,-0.09,-0.02,0.08
40:39.7,0.02,-0.01,0.03
40:39.8,-0.03,0.01,-0.02
40:39.9,-0.02,0.04,0.04
40:40.0,0.04,0.03,0
40:40.1,0.06,0.05,-0.02
40:40.2,0.02,0.06,0.01
