time,ax,ay,az
46:49.6,-0.05,0.1,0.16
46:49.7,0.05,0.08,-0.01
46:49.8,-0.05,-0.01,0.15
46:49.9,-0.11,0.07,-0.11
46:50.0,-0.11,-0.02,-0.05
46:50.1,-0.08,-0.01,0.07
46:50.2,-0.04,-0.08,0
46:50.3,-0.05,-0.05,-0.09
46:50.4,0.02,-0.08,0.05
46:50.5,-0.03,-0.08,-0.01
46:50.6,-0.04,-0.1,0.05
46:50.7,-0.04,-0.04,0.04
46:50.8,-0.05,0.05,0.06
46:50.9,-0.02,0.01,-0.05
46:51.0,-0.07,0,0
46:51.1,-0.05,0.03,0
46:51.2,-0.03,0.03,-0.03
46:51.3,-0.05,0.04,-0.02
46:51.4,-0.04,0.02,0.04
46:51.5,-0.03,0.06,0.03
46:51.6,-0.03,0.03,0
46:51.7,-0.06,-0.01,0.13
46:51.8,-0.16,0.07,0
46:51.9,0.1,0.01,-0.08
46:52.0,-0.03,-0.01,-0.03
46:52.1,-0.17,-0.01,0.16
46:52.2,-0.12,0.05,-0.06
46:52.3,-0.03,0.02,-0.07
46:52.4,-0.03,-0.01,0.06
46:52.5,-0.03,0,0.02
46:52.6,-0.07,-0.01,-0.01
46:52.7,-0.11,0,0.05
46:52.8,-0.04,0.01,0.02
46:52.9,0,0.01,-0.01
46:53.0,-0.04,0.03,0.04
46:53.1,-0.08,0.01,0.07
46:53.2,-0.07,0.01,0.03
46:53.3,0.03,0.02,-0.04
46:53.4,-0.03,0,0.03
46:53.5,0.05,-0.02,-0.07
46:53.6,-0.04,-0.01,0.08
46:53.7,-0.08,-0.05,0.01
46:53.8,0.02,0,0.07
46:53.9,0,0.03,0.03
46:54.0,0,-0.1,-0.01
46:54.1,-0.02,-0.07,0.17
46:54.2,-0.1,0.07,0
46:54.3,-0.05,-0.04,-0.01
46:54.4,0.03,0.01,-0.01
46:54.5,-0.04,0.07,-0.01
46:54.6,0.01,0.02,0.09
46:54.7,0,0,0.05
46:54.8,0.01,0.04,-0.04
46:54.9,0.01,0.02,0.01
46:55.0,0.04,0.11,-0.05
46:55.1,-0.11,-0.03,0.16
46:55.2,0.02,0.03,0.03
46:55.3,0,0.05,0.06
46:55.4,0.05,0.1,-0.05
46:55.5,-0.12,0.11,0.21
46:55.6,-0.1,0.04,0.05
46:55.7,-0.07,0.07,-0.18
46:55.8,-0.04,0.05,0.07
46:55.9,-0.04,-0.01,0.11
46:56.0,-0.06,0.1,-0.11
46:56.1,-0.03,0.08,0.07
46:56.2,0.03,0.16,0.08
46:56.3,-0.05,0.09,-0.17
46:56.4,-0.06,0.12,-0.12
46:56.5,0.02,0.11,0.03
46:56.6,-0.03,0.02,0.19
46:56.7,-0.02,0.11,-0.01
46:56.8,0.03,0.08,-0.07
46:56.9,-0.04,0.09,-0.05
46:57.0,0,0.11,0.14
46:57.1,-0.05,0.11,0.04
46:57.2,0.06,0.16,-0.01
