time,ax,ay,az
43:40.1,-0.04,0.07,0.04
43:40.2,-0.01,0.08,0.02
43:40.3,-0.01,0.08,-0.02
43:40.4,-0.01,0.07,0.02
43:40.5,-0.06,0.06,-0.03
43:40.6,-0.02,0.07,0.02
43:40.7,-0.02,0.06,0.01
43:40.8,0,0.06,0.04
43:40.9,-0.02,0.08,-0.02
43:41.0,-0.01,0.06,0.01
43:41.1,-0.02,0.08,0.02
43:41.2,-0.03,0.07,0.03
43:41.3,-0.03,0.06,0
43:41.4,-0.02,0.06,0.04
43:41.5,0,0.04,0.05
43:41.6,-0.01,0.03,0.05
43:41.7,-0.04,0.09,-0.29
43:41.8,-0.04,0.03,0.08
43:41.9,-0.02,-0.01,0.22
43:42.0,-0.01,0,0.26
43:42.1,-0.03,0.02,0.07
43:42.2,0,-0.02,0.14
43:42.3,-0.02,0,-0.05
43:42.4,-0.08,-0.03,-0.22
43:42.5,-0.03,-0.05,-0.06
43:42.6,0.03,-0.07,0.1
43:42.7,-0.02,-0.02,-0.05
43:42.8,-0.05,-0.08,-0.11
43:42.9,-0.01,-0.06,-0.02
43:43.0,0,-0.08,0.09
43:43.1,-0.01,-0.07,0.02
43:43.2,-0.04,-0.07,0.04
43:43.3,-0.03,-0.05,-0.01
43:43.4,0.01,-0.05,-0.01
43:43.5,-0.03,-0.04,0
43:43.6,-0.02,-0.04,-0.01
