time,ax,ay,az
35:09.7,0.06,0.05,0.04
35:09.8,0.03,0.05,-0.01
35:09.9,0.07,0.02,0.01
35:10.0,-0.01,0.05,0.05
35:10.1,0,0.05,0.02
35:10.2,0.06,0.02,-0.04
35:10.3,0.03,-0.06,0.02
35:10.4,0,-0.11,0.01
35:10.5,0.04,-0.13,-0.09
35:10.6,0.11,-0.16,0.05
35:10.7,0.01,-0.15,0.07
35:10.8,0.02,-0.12,0.06
35:10.9,0.06,-0.06,-0.14
35:11.0,0.09,-0.04,-0.01
35:11.1,0.06,-0.04,-0.06
35:11.2,0.08,-0.05,-0.03
35:11.3,0.05,-0.06,0.07
35:11.4,-0.08,-0.05,0.21
35:11.5,0.05,-0.04,-0.05
35:11.6,0.08,-0.03,-0.09
35:11.7,0.07,0,0.03
35:11.8,0.13,0.02,0.04
35:11.9,-0.08,-0.01,-0.01
35:12.0,-0.07,0.02,0.1
35:12.1,0.01,0.03,-0.01
35:12.2,0.03,0.01,0.01
35:12.3,0.1,0.04,-0.06
35:12.4,0.05,0.04,-0.05
35:12.5,0.02,-0.01,0.05
35:12.6,-0.04,-0.02,-0.02
35:12.7,-0.01,-0.02,0.08
35:12.8,0.03,-0.01,-0.02
35:12.9,0.01,0,-0.01
35:13.0,0.1,-0.02,-0.05
35:13.1,-0.03,-0.03,0.09
35:13.2,0,-0.04,0.04
35:13.3,0.03,-0.05,-0.02
35:13.4,0.01,-0.02,-0.03
35:13.5,0.07,-0.03,0.04
35:13.6,0.01,-0.01,-0.01
35:13.7,-0.01,-0.03,0
35:13.8,0.01,-0.03,0.11
35:13.9,0.04,0,-0.08
35:14.0,0.04,-0.02,-0.06
35:14.1,0.02,-0.01,0.05
35:14.2,0.07,-0.02,0.04
35:14.3,0.08,-0.01,0.06
35:14.4,0.05,-0.02,0.03
35:14.5,-0.01,-0.02,-0.06
35:14.6,0.05,-0.01,0.06
35:14.7,0.09,0,0.01
35:14.8,0.1,0,0.01
35:14.9,-0.01,-0.02,0.09
35:15.0,0,0,-0.09
35:15.1,0,0.01,-0.01
35:15.2,-0.03,0.01,-0.04
35:15.3,-0.03,-0.01,0.11
35:15.4,0.05,0,0.01
35:15.5,0.01,0.03,-0.01
35:15.6,0,0,0.05
35:15.7,0.02,0.03,0.03
35:15.8,0,0.01,-0.02
35:15.9,0.01,0.02,0.02
35:16.0,0.02,0.01,0.01
35:16.1,-0.01,0.02,0.03
35:16.2,-0.05,0.01,0.02
35:16.3,-0.01,0.02,-0.06
35:16.4,0,0.02,0.03
35:16.5,0.08,0.01,0.05
35:16.6,0.06,0.01,0.06
35:16.7,0,-0.01,-0.08
35:16.8,0.05,0.01,0.02
35:16.9,0.07,0.01,0.03
35:17.0,0.06,0.01,0.01
35:17.1,-0.02,0,0
35:17.2,-0.03,0.01,0.01
35:17.3,0.03,0.02,0.01
35:17.4,-0.01,0.02,-0.02
35:17.5,-0.07,0.01,0.02
35:17.6,-0.06,0.03,0.06
35:17.7,0,0.02,-0.03
35:17.8,0.01,0.04,0
35:17.9,0.01,0.03,0
35:18.0,-0.05,0.03,0.02
35:18.1,-0.01,0.03,0.01
35:18.2,-0.03,0.02,0.08
35:18.3,0.01,0.02,0.02
35:18.4,0.02,0.02,-0.05
35:18.5,0.04,0.02,-0.02
35:18.6,-0.01,0.03,-0.08
35:18.7,0.03,0.02,0.05
35:18.8,0.07,0.02,0.03
35:18.9,0.04,0.01,0.01
35:19.0,0.03,0.02,-0.02
35:19.1,0,0.02,-0.01
35:19.2,0.02,0,0.06
35:19.3,0.03,0.03,0.02
35:19.4,0.07,0.02,-0.03
35:19.5,0.02,0.01,0.01
35:19.6,0,0.01,0.02
35:19.7,0,0.02,0.05
35:19.8,0.03,0.01,0.01
35:19.9,0.09,0.01,-0.06
35:20.0,0.03,0.01,0.01
35:20.1,-0.02,0.02,0.02
35:20.2,0.02,-0.01,0.07
35:20.3,0.04,0,0.01
35:20.4,0.08,0.01,-0.02
35:20.5,0.02,0.01,-0.01
35:20.6,0.02,-0.01,0.04
35:20.7,0.02,-0.01,0.01
35:20.8,0.06,-0.02,0.02
35:20.9,0.01,-0.01,-0.01
35:21.0,0.03,0,0.03
35:21.1,0,-0.01,0.06
35:21.2,0.01,0,-0.06
35:21.3,0.05,0,0
35:21.5,0.03,-0.02,-0.02
35:21.6,0.02,-0.02,0.05
35:21.7,0.02,-0.02,0.03
35:21.8,0.02,0,-0.02
35:21.8,0.05,0.02,0.03
35:22.0,0.06,0,0.03
35:22.0,0.02,0.01,-0.01
35:22.2,0.03,0.01,0.01
35:22.3,0.02,0.01,0
35:22.4,0.05,0.03,-0.06
35:22.4,0.02,0.04,-0.02
35:22.5,-0.01,0.04,-0.01
35:22.6,0,0,0.03
35:22.7,-0.01,0.02,0.01
35:22.8,-0.06,0.01,0.15
35:22.9,0,0.03,0.01
35:23.0,0.02,0.01,-0.03
35:23.1,0.04,-0.03,0.04
35:23.2,-0.01,-0.01,0.07
35:23.3,-0.03,0.02,-0.05
35:23.5,-0.02,-0.01,-0.03
35:23.5,0.01,-0.01,-0.04
35:23.6,-0.05,-0.03,0.02
35:23.7,-0.01,0,-0.05
35:23.8,-0.03,-0.01,0.05
35:23.9,0,0.03,0.12
35:24.0,-0.03,0,-0.04
35:24.1,0.02,0.01,-0.14
35:24.2,0.02,0.04,-0.04
35:24.3,-0.07,0.02,0.07
35:24.4,-0.07,0,-0.02
35:24.5,0.09,-0.04,0.02
35:24.6,0.19,0.02,-0.02
35:24.7,0.02,0.03,0.03
35:24.8,-0.14,0.03,-0.06
35:24.9,-0.08,-0.02,0.07
35:25.0,0.1,0.03,0.11
35:25.1,0.01,0.04,0.03
35:25.2,0,0.02,-0.09
35:25.3,-0.03,0.06,0
35:25.4,-0.09,0.02,0.01
35:25.5,0,0,0.01
35:25.6,0.05,0,-0.06
35:25.7,0.01,0.05,0.02
35:25.8,-0.04,0,0.07
35:25.9,-0.06,0,-0.09
35:26.0,-0.05,-0.04,0.06
35:26.1,0.05,0.01,0
35:26.2,-0.01,0.03,-0.07
35:26.3,0.03,0.02,0.07
35:26.4,0.04,-0.01,0
35:26.6,-0.03,-0.05,-0.03
35:26.7,-0.01,-0.02,-0.08
35:26.8,-0.03,-0.03,-0.02
35:26.9,0,0.04,-0.05
35:27.0,0.04,-0.02,0.02
35:27.1,-0.04,-0.01,0.08
35:27.2,0.02,-0.08,0.05
35:27.3,-0.06,-0.01,0.04
35:27.4,-0.01,-0.03,0.06
35:27.5,0.05,-0.03,-0.07
35:27.6,0.05,-0.03,0.01
35:27.7,-0.03,-0.03,0.03
35:27.8,0.04,-0.02,-0.02
35:27.9,0.02,-0.01,-0.01
35:28.0,0.02,0.01,0
35:28.1,-0.01,-0.01,0.07
35:28.2,-0.03,-0.01,0
35:28.3,0.04,-0.01,-0.03
35:28.4,0.02,0,0.02
35:28.5,0,0.01,0.03
35:28.6,-0.05,0,0.03
35:28.7,0.03,-0.03,-0.04
35:28.8,0.07,0.02,0.03
35:28.9,0.07,0,-0.04
35:29.0,-0.02,-0.01,0.04
35:29.1,-0.02,0.01,-0.07
35:29.2,0.02,0,0.06
35:29.3,0.02,0.02,-0.05
35:29.4,-0.03,0,0.01
35:29.5,-0.07,0.02,-0.04
35:29.6,0.02,0.02,0.05
